time,User,Tweets,userid,service_accounts
2022-12-17 23:58:44,dorapapagr,tlrailuk december  brighton gatwick airportis cancelled why am i able purchase ticket nonetheless,3364267845,0.0
2022-12-17 22:53:45,TLRailUK,yes valid,2589703207,1.0
2022-12-17 22:39:41,mike_travel00,tlrailuk hi there i bought super off peak ticket saturdayth december kings lynn since ticket easements place i going monday tuesday can i use ticket earlier  like i would done saturday restricted time,1561422278109413378,0.0
2022-12-17 21:51:47,palace_mason,rmtunion tlrailuk southernrailuk think strike going stop day london think again thank nationalexpress getting us almost way home httpstcoinywkusaup,84136494,0.0
2022-12-17 21:29:42,Sam82767021, …so get off train so i exactly tlrailuk class  i don’t know why but i always get little bit nervous i’m ramp i don’t want anything go wrong i’ve never done ramp class  today,1247940198111068160,0.0
2022-12-17 21:05:53,DanJGTate,tlrailuk please i confirm first service run gatwick airport london bridge,614486594,0.0
2022-12-17 19:32:27,tinamreynolds,if services rely goodwill overtime run properly need look yourselves not rmt  saying httpstcofljeskek,129217085,0.0
2022-12-17 18:30:02,TLRailUK,❗️ services starting later tomorrow ❗️ the first services day much later normal no services  this could later depending youre travelling from check ahead amp recheck journey travel 👉 httpstconctyemoj,2589703207,1.0
2022-12-17 18:06:13,WendyNowak,rt southwarknews here strikes dates affecting southwark ldnambulance unisontheunion nhsstrike gsttnhs thercn selondonp…,23254726,0.0
2022-12-17 18:06:12,AmoAmmo,rt tlrailuk 📢 from december  december plan run normal service but may late notice cancellationsamendme…,47583887,0.0
2022-12-17 18:01:42,Southwark_News,here strikes dates affecting southwark ldnambulance unisontheunion nhsstrike gsttnhs thercn selondonpostal rmtunion serailway tlrailuk tfl unitetheunion lfbsouthwark londonfbu httpstcopyjjcvoqp httpstcotkfiwwtqgh,23581211,0.0
2022-12-17 18:01:05,TLRailUK,📢 from december  december plan run normal service but may late notice cancellationsamendments services finish earlier  december  december no service ℹ️ more info available 👇 httpstcohtmhatmkjd httpstcokjbzkwj,2589703207,1.0
2022-12-17 17:55:03,KerryfromSA,tlrailuk ok thanks ill try,3362717092,0.0
2022-12-17 17:53:05,TLRailUK,kerryfromsa so need enter journey details reach screen says how long delayed for option select  hours more emily,2589703207,1.0
2022-12-17 17:46:59,KerryfromSA,tlrailuk annual season ticket,3362717092,0.0
2022-12-17 17:46:40,TLRailUK,kerryfromsa can i confirm type ticket have emily,2589703207,1.0
2022-12-17 17:46:18,xtinelynch,due travel disruptions sunday december following gatwickexpress tlrailuk train strikes sold nationalexpress tickets i’ve booked cab am hackney e gatwickairport south terminal dm need share it gatwickairport,305859443,0.0
2022-12-17 17:44:53,cspgray,tlrailuk thanks update timely relief driver certainly,851509930825834496,0.0
2022-12-17 17:44:18,TLRailUK,cspgray apologies delay service relief driver due train arrives  minutes emily,2589703207,1.0
2022-12-17 17:42:32,KerryfromSA,tlrailuk thanks and also tell i go claiming compensation strike days i couldnt get work i know its delay repay but i cant find option delayed over minutes,3362717092,0.0
2022-12-17 17:41:47,cspgray,tlrailuk delayed hitchin london  mins relief driver didn’t turn up,851509930825834496,0.0
2022-12-17 17:39:23,TLRailUK,kerryfromsa hi there plan operate normal service day but may short notice cancellations amendments emily,2589703207,1.0
2022-12-17 17:35:53,KerryfromSA,tlrailuk will mondayth normal service please,3362717092,0.0
2022-12-17 17:26:41,teataster100,gatwickairport going train gatwickairport tofrom somewhere greater london dont get rippedoff gatwickexpress scam thats totally unnecessary use southern southernrailuk or thameslink tlrailuk using oystercontactless £ single offpeak half price paper tickets httpstcoqvthjdvm,2273797777,0.0
2022-12-17 17:17:21,CommitteeHart,kyliewalters tlrailuk they havent included rmt strike days no tl trains able run line,4889756117,0.0
2022-12-17 17:01:17,TLRailUK,🚉 services christmas eve finish much earlier usual could early journey planners updated  december services running  december check ahead amp recheck travel httpstconctyemgtu httpstcodqcobkfor,2589703207,1.0
2022-12-17 16:47:02,HoveSweetHove99,mrdini tlrailuk southernrailuk that it’s come this,926132015841398784,0.0
2022-12-17 16:43:43,SouthernRailUK,mrdini tlrailuk hi there hoping run services advertised tomorrow emily,171114552,1.0
2022-12-17 16:34:25,Mrdini,tlrailuk southernrailuk i realise it’s bit “how long piece string” question but tomorrow expectations you’ll running brighton mainline kings xfinsbury park per online timetables 🙈,309999760,0.0
2022-12-17 16:01:02,TLRailUK,📢 national industrial action taking place  amp  december    amp  january our advice travel absolutely necessary strike days ℹ️ more info available 👇 httpstcohtmhatmctf httpstcoregkqc,2589703207,1.0
2022-12-17 15:37:09,TLRailUK,greateranglia cerenocal hi there know whereabouts train left it and sort tracking app it emily,2589703207,1.0
2022-12-17 15:35:21,TLRailUK,✅ disruption peterborough hitchin cleared 🕒 if delayed minutes claim delay repay more information 👇 httpstcobeuotigxa,2589703207,1.0
2022-12-17 15:17:26,greateranglia,cerenocal sorry train please contact tlrailuk this  johnny,157996395,0.0
2022-12-17 15:06:01,ClangerSmall,tlrailuk trains extremely busy but remember there no rule many people pack onto train,1068751669524078593,0.0
2022-12-17 15:02:06,TLRailUK,hashtagmills it looks like may wider issue season ticket refund form due this youll need contact customer relations team directly following link gt httpstcounlmbisq emily,2589703207,1.0
2022-12-17 15:00:04,TLRailUK,❗️ services finish much earlier usual today ❗️ these trains expected extremely busy if must travel strongly advise travel earlier check ahead amp recheck travelling date info 👉 httpstconctyemgtu httpstcoeuwdzsfd,2589703207,1.0
2022-12-17 15:00:03,TLRailUK,❗️ services finish much earlier usual today ❗️ these trains expected extremely busy if must travel strongly advise travel earlier check ahead amp recheck travelling date info 👉 httpstconctyefuu httpstcohzqtbvrwyy,2589703207,1.0
2022-12-17 14:47:33,HashtagMills,tlrailuk yes that’s i’m link refunds doesn’t work,3028606090,0.0
2022-12-17 14:26:18,TLRailUK,📢 trains peterborough hitchin remain disrupted 🚉 this due damage overhead electric wires ⏰ please allow extra time check journey services may run amended calling pattern 📲 httpstconctyemoj,2589703207,1.0
2022-12-17 14:07:58,TLRailUK,mrrobbeasley hi there due industrial action affecting multiple operators unable offer ticket acceptance emily,2589703207,1.0
2022-12-17 14:07:25,TLRailUK,hashtagmills hi there tried logging online account going manage tickets  refunds section emily,2589703207,1.0
2022-12-17 14:03:50,czesterjc,tlrailuk for lovely thamestink like everyday 😜,1705471178,0.0
2022-12-17 14:00:02,TLRailUK,📢 national industrial action taking place today late start service december our advice travel absolutely necessary strike days ℹ️ more info available 👇 httpstcohtmhatmctf httpstcocdnpbpe,2589703207,1.0
2022-12-17 13:39:01,MrRobBeasley,tlrailuk are tickets st pancras valid tube today trains terminating london bridge,185328327,0.0
2022-12-17 13:17:59,HashtagMills,tlrailuk i’m trying get refund flexi season ticket i’ve unable fully use due strike action the link website smartcard refunds doesn’t work how i get refund,3028606090,0.0
2022-12-17 13:12:09,TLRailUK,⚠️ a fault signalling system causing delays services peterborough hitchin 🕒 you still use normal route time but please allow additional minutes complete journey,2589703207,1.0
2022-12-17 12:42:41,TLRailUK,danyprko hi there journey planners updated th december date check journey then emily,2589703207,1.0
2022-12-17 12:39:29,DanyPrko,tlrailuk i train ticket go gatwick th am i not received notification train cancelled far will i still able travel i look alternative thanks,1548652815257665537,0.0
2022-12-17 12:37:06,TLRailUK,✅ disruption welwyn garden city potters bar cleared trains stop stations normal 🕒 if delayed minutes more claim delay repay more information 👇 httpstcobeuotigxa,2589703207,1.0
2022-12-17 12:31:51,teataster100,primistry gatwickexpress going train gatwickairport tofrom somewhere greater london dont get rippedoff gatwickexpress scam thats totally unnecessary use southern southernrailuk or thameslink tlrailuk using oystercontactless £ single offpeak half price paper tickets httpstcovsnvic,2273797777,0.0
2022-12-17 12:00:09,TLRailUK,❗️ services finish much earlier usual today ❗️ these trains expected extremely busy if must travel strongly advise travel earlier check ahead amp recheck travelling date info 👉 httpstconctyemgtu httpstcodinenqnxu,2589703207,1.0
2022-12-17 12:00:05,TLRailUK,❗️ services finish much earlier usual today ❗️ these trains expected extremely busy if must travel strongly advise travel earlier check ahead amp recheck travelling date info 👉 httpstconctyemgtu httpstcojjnrwvp,2589703207,1.0
2022-12-17 11:32:30,JoeySta71789789,tlrailuk good heavens different browsers,1114965068691775489,0.0
2022-12-17 11:25:40,TLRailUK,joeysta hi there tried clearing cachecookies emily,2589703207,1.0
2022-12-17 11:19:03,JoeySta71789789,tlrailuk website complaints form stuck submitting several times different browsers,1114965068691775489,0.0
2022-12-17 11:11:49,teataster100,gatwickairport going train gatwickairport tofrom somewhere greater london dont get rippedoff gatwickexpress scam thats totally unnecessary use southern southernrailuk or thameslink tlrailuk using oystercontactless £ single offpeak half price paper tickets httpstcooiugxfv,2273797777,0.0
2022-12-17 11:11:21,TLRailUK,mequetrefx the first service arrive gatwick tomorrow arrive  emily,2589703207,1.0
2022-12-17 11:10:20,TLRailUK,kyliewalters journey planners date timetables rd december you check train times httpstconctyemgtu emily,2589703207,1.0
2022-12-17 11:08:41,TLRailUK,🎫 to assist journey use tickets on 🚅 thameslink great northern trains reasonable route 🚌 tfl buses central london potters bar,2589703207,1.0
2022-12-17 11:07:55,mequetrefx,tlrailuk yes but checked last night two trains scheduled arrive gatwick   this morning i check theyre gone no mention cancelled are still running,1267571820586307586,0.0
2022-12-17 11:07:08,Kylie_Walters,tlrailuk we several family members rely service but none tlrailuk updates ever include rainham its route doesnt exist,37646478,0.0
2022-12-17 11:06:24,TLRailUK,🚧 the points failure means unable use slow stopping lines towards london trains use fast lines 🕒 this may cause congestion trains using lines delays minutes expected,2589703207,1.0
2022-12-17 11:05:18,Kylie_Walters,tlrailuk rainham last stop luton rainham route you advertise end line stations but never rainham  husband drives routes gillingham depot just need know last train leaves rainham london last one home,37646478,0.0
2022-12-17 11:00:02,TLRailUK,📢 national industrial action taking place today late start service december our advice travel absolutely necessary strike days ℹ️ more info available 👇 httpstcohtmhatmctf httpstcoyydqqrrlt,2589703207,1.0
2022-12-17 10:50:47,palace_mason,so tlrailuk train on time i leave home cancelled time i arrive station useless unapologetic disgrace service rmtunion enjoying day off freeze death httpstcoynwhjhoo,84136494,0.0
2022-12-17 10:47:00,TLRailUK,mequetrefx hi there due industrial action taking place today services starting later day tomorrow emily,2589703207,1.0
2022-12-17 10:44:08,TLRailUK,➡️ if stations travelling london need take next northbound service change next station southbound service,2589703207,1.0
2022-12-17 10:42:09,TLRailUK,➡️ if travelling stations towards london need travel next station change service direction,2589703207,1.0
2022-12-17 10:38:57,mequetrefx,tlrailuk what happened trains london bridge gatwick airport arrivedth   have cancelled,1267571820586307586,0.0
2022-12-17 10:36:45,TLRailUK,❌ we currently unable call following stations direction london 👉 welham green 👉 hadley wood 👉 hornsey 👉 harringay services london unaffected time,2589703207,1.0
2022-12-17 10:31:53,TLRailUK,⚠️ a points failure affecting services welwyn garden city potters bar ➡️ services area likely delayed altered possibly cancelled,2589703207,1.0
2022-12-17 10:31:01,TLRailUK,🚉 services christmas eve finish much earlier usual could early journey planners updated  december services running  december check ahead amp recheck travel httpstconctyemgtu httpstcoaegvnii,2589703207,1.0
2022-12-17 10:09:24,TLRailUK,sirmares hi there able send us direct message full name email address booking reference emily httpstcoytqrfkodd,2589703207,1.0
2022-12-17 09:55:47,sirmares,tlrailuk hi i collected tickets gatwick airport thursday i already paid £ via paypal i putting credit card typed collection reference additional € charged credit card how i get money back,20682382,0.0
2022-12-17 09:54:40,TLRailUK,mirunaila gatwickairport yes limited service operating route today you check journey httpstconctyemgtu emily,2589703207,1.0
2022-12-17 09:52:39,mirunailas1,tlrailuk gatwickairport travelling today london bridge,1182764611524804609,0.0
2022-12-17 09:39:13,iamdannyyoung,tlrailuk great thanks quick reply 👍🏻,21852677,0.0
2022-12-17 09:37:59,TLRailUK,iamdannyyoung hi there services running route but i would recommend checking httpstconctyemgtu latest date information emily,2589703207,1.0
2022-12-17 09:36:36,iamdannyyoung,hi tlrailuk  train times httpstcocwuzunnn app correct today strike action mind i need get st albans london afternoon  cheers,21852677,0.0
2022-12-17 09:31:21,TLRailUK,phillippro hi there  t   emily,2589703207,1.0
2022-12-17 09:27:33,phillippro3271,do know train us runningl t thanks tlrailuk,1390082475771244545,0.0
2022-12-17 09:17:01,TLRailUK,✅ disruption st pancras west hampstead thameslink cleared,2589703207,1.0
2022-12-17 09:12:13,BenRGoodyear,tlrailuk another day another issue,415003155,0.0
2022-12-17 09:01:24,TLRailUK,ngnge hi there yes entitled refund days you find information following page refunds season flexi season tickets gt httpstcomsyjyfpoq emily,2589703207,1.0
2022-12-17 09:01:02,TLRailUK,📢 national industrial action taking place  amp  december    amp  january our advice travel absolutely necessary strike days ℹ️ more info available 👇 httpstcohtmhatmctf httpstcovreowce,2589703207,1.0
2022-12-17 08:56:15,elfordminis,daemonhammer tlrailuk ahh fair enough yeah isn’t great,354838048,0.0
2022-12-17 08:54:33,K1ngG1nge,tlrailuk hi annual season ticket holder i entitled refund strike dates affected me,194236418,0.0
2022-12-17 08:54:05,TLRailUK,⚠️ a train experiencing fault st pancras international west hampstead thameslink ⛔️ the line towards bedford  luton currently blocked ⏰ please allow extra time travelling route,2589703207,1.0
2022-12-17 08:50:44,TLRailUK,✅ disruption caused earlier fault train radlett st albans cleared,2589703207,1.0
2022-12-17 08:35:52,Brother_Trevor,tlrailuk bring driver less trains world better place,535312029,0.0
2022-12-17 08:34:38,TLRailUK,⏰ you still use normal route time but please allow extra time travelling route 🕒 we expecting services delayed minutes,2589703207,1.0
2022-12-17 08:25:56,TLRailUK,⚠️ there fault train radlett st albans ⛔️ the line towards luton  bedford currently blocked whilst driver investigates further ℹ️ more follow,2589703207,1.0
2022-12-17 08:12:22,Bennythefish75,xmsjonesx gatwickexpress unsure gatwick express whether running i know tlrailuk but that’s not direct,228859428,0.0
2022-12-17 08:09:51,teataster100,rt teataste gatwickairport gatwickexpress southernrailuk tlrailuk gatwick london £ weekend paper ticket  https…,2273797777,0.0
2022-12-17 08:09:47,teataster100,rt teataste gatwickairport going train gatwickairport tofrom somewhere greater london dont get rippedoff gat…,2273797777,0.0
2022-12-17 08:09:21,teataster100,gatwickairport gatwickexpress southernrailuk tlrailuk gatwick london £ weekend paper ticket  httpstcopmckbjol,2273797777,0.0
2022-12-17 08:07:54,teataster100,gatwickairport going train gatwickairport tofrom somewhere greater london dont get rippedoff gatwickexpress scam thats totally unnecessary use southern southernrailuk or thameslink tlrailuk using oystercontactless £ single offpeak half price paper tickets httpstcoxuoiuejc,2273797777,0.0
2022-12-17 08:01:16,DebbieEcheloN,rt tlrailuk ❗️ services finish much earlier usual today ❗️ these trains expected extremely busy if must trave…,432035813,0.0
2022-12-17 08:01:04,TLRailUK,❗️ services finish much earlier usual today ❗️ these trains expected extremely busy if must travel strongly advise travel earlier check ahead amp recheck travelling date info 👉 httpstconctyemgtu httpstcozslozywrk,2589703207,1.0
2022-12-17 08:01:02,TLRailUK,❗️ services finish much earlier usual today ❗️ these trains expected extremely busy if must travel strongly advise travel earlier check ahead amp recheck travelling date info 👉 httpstconctyemgtu httpstcouhidgaqm,2589703207,1.0
2022-12-17 08:00:39,Daemon_Hammer,elfordminis tlrailuk thameslink isn’t strike just running much reduce service starting almost  hours later normal it seems even that’s difficult,61180577,0.0
2022-12-17 07:54:24,elfordminis,daemonhammer tlrailuk rail strike i believe dude,354838048,0.0
2022-12-17 07:54:11,CommitteeHart,rt tlrailuk ❗️ services finish much earlier usual saturdayth december ❗️ these trains expected extremely bus…,4889756117,0.0
2022-12-17 07:47:19,GazD1882,tlrailuk perfect thank,1450190202677383168,0.0
2022-12-17 07:47:04,TLRailUK,gaz we hoping services run booked emily,2589703207,1.0
2022-12-17 07:46:21,GazD1882,tlrailuk great likelihood change cos effectively right now looks though i’ll fine journey return assuming stays like this httpstcoiqhzjum,1450190202677383168,0.0
2022-12-17 07:42:22,TLRailUK,gaz yes correct emily,2589703207,1.0
2022-12-17 07:36:19,GazD1882,tlrailuk thank you thameslink app currently showing looks fine…is incorrect then httpstcolnoazniui,1450190202677383168,0.0
2022-12-17 07:30:43,TLRailUK,gaz hi there running limited service today due industrial action you check journey httpstconctyemgtu emily,2589703207,1.0
2022-12-17 07:28:46,GazD1882,tlrailuk tell service impacted industrial action today my app shows trains running fine but also warning strikes i’m unclear i’ll ok use service confidence no cancellations  delays due strikes,1450190202677383168,0.0
2022-12-17 07:23:51,Daemon_Hammer,good morning tlrailuk first two southbound trains bedford already shown delayed can give update happening amp might running please  httpstcocbbrshijhm,61180577,0.0
2022-12-17 07:00:03,TLRailUK,📢 national industrial action taking place today late start service december our advice travel absolutely necessary strike days ℹ️ more info available 👇 httpstcohtmhatmctf httpstcojwhsxpu,2589703207,1.0
2022-12-17 06:07:21,teataster100,gatwickairport wagamamauk going train gatwickairport tofrom somewhere greater london dont get rippedoff gatwickexpress scam thats totally unnecessary use southern southernrailuk or thameslink tlrailuk using oystercontactless £ single offpeak half price paper tickets httpstcoiyilnxgv,2273797777,0.0
2022-12-17 01:30:32,SandraRhule1,rt southwarknews here strikes dates affecting southwark ldnambulance unisontheunion nhsstrike gsttnhs thercn selondonp…,1494012256090214405,0.0
2022-12-17 01:29:09,SandraRhule1,rt southwarknews here strikes dates affecting southwark ldnambulance unisontheunion nhsstrike gsttnhs thercn selondonp…,1494012256090214405,0.0
2022-12-16 22:42:57,ThanksAndQs,tlrailuk hi trains running elephant amp castle bromley tomorrow,1544046921622462464,0.0
2022-12-16 22:26:59,mlwalshman,tlrailuk thank you i need get luton st pancras back luton later night just needed know services thank much,64265003,0.0
2022-12-16 22:25:35,TLRailUK,mlwalshman hi there yes technically limited service running bedford st pancras would need make way london bridge services operating towards brighton thanks scottie,2589703207,1.0
2022-12-16 22:20:22,mlwalshman,tlrailuk service bedford brighton affected tomorrow,64265003,0.0
2022-12-16 21:54:40,katemojo1,abbyaug tlrailuk no staff train apart driver occasionally ticket inspector wanders through no staff platform local station either ☹️,1183374758,0.0
2022-12-16 21:48:41,TLRailUK,boro hi there please resubmit claim i know sounds counterproductive but often response different please resubmit let us know outcome thanks scottie,2589703207,1.0
2022-12-16 21:48:33,TLRailUK,mikenewman hi there please resubmit claim i know sounds counterproductive but often response different please resubmit let us know outcome thanks scottie,2589703207,1.0
2022-12-16 21:45:08,71Boro,tlrailuk what’s nonsense i season ticket wished use train normal not run first train day two half hours later please explain httpstcofaxlflt,146549980,0.0
2022-12-16 21:42:08,MikeNewman33,tlrailuk delay repay claim cancelled  east grinstead london victoria declined it scheduled train cancelled i take  clearly  minute delay,1058440130,0.0
2022-12-16 20:02:30,Southwark_News,here strikes dates affecting southwark ldnambulance unisontheunion nhsstrike gsttnhs thercn selondonpostal rmtunion serailway tlrailuk tfl unitetheunion lfbsouthwark londonfbu httpstcopyjjcvh httpstcootoqkjfp,23581211,0.0
2022-12-16 19:01:28,TLRailUK,❗️ services finish much earlier usual saturdayth december ❗️ these trains expected extremely busy if must travel strongly advise travel earlier check ahead amp recheck travelling date info 👉 httpstconctyemgtu httpstcojgyovzgfi,2589703207,1.0
2022-12-16 19:01:27,TLRailUK,❗️ services finish much earlier usual saturdayth december ❗️ these trains expected extremely busy if must travel strongly advise travel earlier check ahead amp recheck travelling date info 👉 httpstconctyemoj httpstcohtcnoixk,2589703207,1.0
2022-12-16 18:45:59,TLRailUK,kyliewalters hi kylie unfortunately wouldnt possible advertise stations last train times many if let know journey looking make i try assist further 🙂 kirsty,2589703207,1.0
2022-12-16 18:43:17,Kylie_Walters,tlrailuk what gillingham please when last trains strike action  december example the london rainham section route seems always missing updates national rail planner still shows services running scheduled,37646478,0.0
2022-12-16 18:41:13,Kylie_Walters,tlrailuk why never mention rainham updates please,37646478,0.0
2022-12-16 18:39:17,Joel88021437,thetrainline tlrailuk btw i wont give might well give us money back this thread info need,1217736634889920512,0.0
2022-12-16 18:37:42,Joel88021437,thetrainline tlrailuk shes already got touch via email you reference number she is  months pregnant,1217736634889920512,0.0
2022-12-16 18:24:44,diecizerouno,crawleybc wsccnews tlrailuk networkrail fantastic news please keep giving updates,44107687,0.0
2022-12-16 17:57:32,willcardale4432,gnrailuk tlrailuk intalink thanks,1490394723546185732,0.0
2022-12-16 17:36:11,BaresiFi,serailway tlrailuk thank 🙏🏼,1300605298579656705,0.0
2022-12-16 17:29:32,Oldtraindriver,rt tlrailuk 🚉 services christmas eve finish much earlier usual could early journey planners up…,320797050,0.0
2022-12-16 17:22:33,of_norwood,rt tlrailuk 📢 national industrial action taking place  amp  december    amp  january our advice trav…,1123590742558085120,0.0
2022-12-16 17:21:49,of_norwood,rt tlrailuk 🚉 services christmas eve finish much earlier usual could early journey planners up…,1123590742558085120,0.0
2022-12-16 17:10:52,Se_Railway,tlrailuk baresifi hi we running services deptford tomorrow i attached timetable you httpstcoinejudjaw hs,361312721,1.0
2022-12-16 17:08:58,TLRailUK,baresifi hello not running services tofrom deptford tomorrow you may wish get contact south eastern see running route 🙂 serailway kirsty,2589703207,1.0
2022-12-16 17:06:26,BaresiFi,tlrailuk hi there are trains running deptford london bridge tomorrow morning thanks,1300605298579656705,0.0
2022-12-16 17:01:02,TLRailUK,🚉 services christmas eve finish much earlier usual could early journey planners updated  december services running  december check ahead amp recheck travel httpstconctyemgtu httpstcovhsbftss,2589703207,1.0
2022-12-16 16:33:02,TLRailUK,danyprko hi there could i ask time service is you may travel london bridge gatwick airport date day industrial action kirsty,2589703207,1.0
2022-12-16 16:30:36,DanyPrko,tlrailuk i ticket london blackfriars gatwick th december early morning will i still able travel thanks,1548652815257665537,0.0
2022-12-16 16:18:30,TLRailUK,tcxo hello tahsin two trains per hour run st pancras international luton although finish much earlier usual please check travelling 🙂 httpstcomblfgl kirsty,2589703207,1.0
2022-12-16 16:15:59,LeaFourmaux,tlrailuk thank you,71292965,0.0
2022-12-16 16:14:38,tcxo24,tlrailuk hi trains running luton london st pancras tomorrow,1332746463709966338,0.0
2022-12-16 16:14:16,TLRailUK,leafourmaux there four trains per hour calling stations the first service west hampstead st pancras  🙂 kirsty,2589703207,1.0
2022-12-16 16:10:39,LeaFourmaux,tlrailuk hello trains west hampstead st pancrasth traveling  am,71292965,0.0
2022-12-16 16:09:37,RedhillRail,bit silly tlrailuk trains every minutes london bridge redhill but alternate trains sit norwood junction minutes meaning arrival redhill minutes apart,2368945105,0.0
2022-12-16 16:04:00,TLRailUK,nicolajags from london kings cross welwyn garden city welwyn garden city london kings cross 🙂 kirsty,2589703207,1.0
2022-12-16 16:00:02,TLRailUK,📢 national industrial action taking place  amp  december    amp  january our advice travel absolutely necessary strike days ℹ️ more info available 👇 httpstcohtmhatmctf httpstcopxvmxomdu,2589703207,1.0
2022-12-16 15:59:19,nicolajags,tlrailuk haha would help wouldn’t it london kings cross,19156871,0.0
2022-12-16 15:58:54,TLRailUK,nicolajags hi nicola travelling tofrom today 🙂 kirsty,2589703207,1.0
2022-12-16 15:56:53,nicolajags,tlrailuk i get clarity last train stops welwyn garden city your feed claims but websites trainline national rail state,19156871,0.0
2022-12-16 15:48:59,LornaSpaine,tlrailuk amazing thank much kirsty ❤️,40231472,0.0
2022-12-16 15:46:03,TLRailUK,lornaspaine hi lorna journey planners updated services run december there  trains per hour london bridge gatwick airport httpstcohtmhatmctf kirsty,2589703207,1.0
2022-12-16 15:42:36,LornaSpaine,tlrailuk hi there says limited services decth gatwick airport trains day,40231472,0.0
2022-12-16 15:01:08,TLRailUK,❗️ services finish much earlier usual today ❗️ these trains expected extremely busy if must travel strongly advise travel earlier check ahead amp recheck travelling date info 👉 httpstconctyemgtu httpstcoedndzyib,2589703207,1.0
2022-12-16 15:01:05,TLRailUK,❗️ services finish much earlier usual today ❗️ these trains expected extremely busy if must travel strongly advise travel earlier check ahead amp recheck travelling date info 👉 httpstconctyemgtu httpstcowzfdiba,2589703207,1.0
2022-12-16 14:58:47,TLRailUK,gutsinmm hi there im unsure received notification farringdon burgess hill service still run friday rd there also no engineering works affecting route either kirsty,2589703207,1.0
2022-12-16 14:52:54,gutsin8mm__,tlrailuk i’ve email say booked train won’t run but it’s still showing website trainline httpstcogttyghbz,740987490979483648,0.0
2022-12-16 14:40:44,SouthernRailUK,tlrailuk 📢 thameslink services still subject delays minutes three bridges haywards heath 🚧 this due speed restriction over defective track ⏰ please allow extra time travel route,171114552,1.0
2022-12-16 14:36:40,TLRailUK,ravlondon good afternoon two services hour running mill hill broadway london st pancras also two services hour running luton 🙂 kirsty,2589703207,1.0
2022-12-16 14:31:59,ravlondon,tlrailuk hi trains running mill hill today city ,29965769,0.0
2022-12-16 14:29:00,fjdfgsdhljkffj1,tlrailuk thank,1489928848527577089,0.0
2022-12-16 14:28:24,TLRailUK,fjdfgsdhljkff this would unit  kirsty,2589703207,1.0
2022-12-16 14:26:56,fjdfgsdhljkffj1,tlrailuk train running it,1489928848527577089,0.0
2022-12-16 14:26:35,TLRailUK,fjdfgsdhljkff hello t thameslink service london kings cross kgx ely ely 🙂 kirsty,2589703207,1.0
2022-12-16 14:22:59,GNRailUK,willcardale tlrailuk intalink hi will app tracking feature you searching journey clicking it it display live view train route 🙂 kirsty httpstcolufczbcbc,2589687589,0.0
2022-12-16 14:18:15,willcardale4432,tlrailuk gnrailuk intalink are plans train tracker app tracker feature either thameslink great northern trains  some local buses already this could something similar introduced commuters amp travelling leisure,1490394723546185732,0.0
2022-12-16 14:17:34,TLRailUK,njf hi there yes is however last service due industrial action kirsty,2589703207,1.0
2022-12-16 14:14:38,njf49,tlrailuk are trains finsbury park wgc today it’s show positive app but i’m checking thanks,471475684,0.0
2022-12-16 14:09:23,TLRailUK,ryanpboro hi there limited service route journey planners date services running emily,2589703207,1.0
